"Restaurant.and.hotels.Expenditure","Alcoholic.Beverages.Expenditure","Tobacco.Expenditure","Clothing..Footwear.and.Other.Wear.Expenditure","Housing.and.water.Expenditure","Medical.Care.Expenditure","Transportation.Expenditure","Communication.Expenditure","Education.Expenditure","Miscellaneous.Goods.and.Services.Expenditure","Special.Occasions.Expenditure"
2000,2124,9230,980,8730,514,942,612,780,1590,1500
4220,0,0,2791,8400,931,3030,612,420,1476,4000
10440,612,4260,5564,11358,707,960,984,1235,3054,5000
13220,5070,5200,3141,9396,4423,5274,1164,1310,6402,2100
16120,288,4420,1728,14040,5367,600,216,130,1524,390
2750,1308,0,1590,7740,31740,2268,732,75,2076,4000
1820,45,0,460,19596,422,888,288,0,1596,500
3600,2700,0,3451,20238,2102,16920,3312,29284,1770,4000
24600,480,0,19449,73428,3340,35154,16260,64700,76650,30000
5340,270,3640,2070,21360,352,5400,1536,23584,1980,8000
0,300,9050,2439,19530,122,10350,2520,0,2646,8000
0,225,1142,860,4920,210,432,360,125,6408,0
0,720,8507,900,7548,573,10560,1128,2990,5862,1000
150,0,0,485,11298,416,2664,0,0,1104,0
250,180,0,340,15600,290,2454,252,0,4482,3000
520,30,380,1060,6822,231,7560,540,3950,4764,5500
4200,270,0,6727,17670,518,16440,900,7596,7884,3000
4200,2386,0,14024,26100,1100,44940,6840,9070,10686,11800
1950,0,0,10914,53700,2114,8850,7800,51200,27330,0
1300,100,0,1811,22800,545,6540,960,0,4074,1000
7800,7280,9955,4840,10050,2476,16902,2640,0,6720,3500
520,2600,7240,670,8220,40,10044,648,0,3180,0
0,0,0,3765,15030,716,11040,840,4045,10020,3100
240,0,0,1283,28980,5068,5040,612,0,3678,1500
3300,90,0,4699,25866,358,7080,840,30,11130,8000
2875,0,0,1345,31086,12866,4800,648,14080,1956,0
7380,0,0,3340,24000,304,11970,600,11000,3726,11000
800,181,3393,679,14454,339,1122,300,185,738,3500
18400,435,0,7692,12810,1013,7704,1080,28910,4338,10600
560,0,0,750,11070,684,948,0,530,804,0
1940,180,520,891,12840,5748,918,120,1450,1998,0
2900,778,3380,3955,12360,147,1338,420,950,2130,0
3200,910,2600,5250,16590,174,4524,600,25300,4998,0
1080,1476,1040,5090,10950,4255,6474,300,150,2766,0
26440,690,0,9039,19260,117,5358,1080,67900,3744,10000
760,782,624,1625,7680,105,948,270,950,810,6200
700,270,520,600,8772,96,912,270,300,960,0
4100,780,980,2840,11760,140,1188,0,630,1410,0
5430,1170,5460,1245,15252,10,612,750,0,2142,0
1800,2880,0,4146,14106,2088,1044,3192,0,3030,0
5760,36,0,1590,14676,427,4536,1560,0,6084,0
16120,1497,0,6236,34764,37002,8430,3708,500,14898,0
8680,0,0,2852,27636,1649,4836,840,750,6900,0
6780,0,0,1544,26520,9554,11304,2280,1280,10002,0
3390,480,0,7620,12300,3590,4140,360,0,2658,44000
26036,4080,7086,28060,57714,2848,18504,11394,49075,23016,19000
17270,270,5804,4505,21090,2065,9324,1176,1000,4446,2000
21060,0,0,4380,25410,22520,17076,1920,1220,13632,0
13380,48,5960,8355,31998,2474,8028,3198,2079,16632,12000
44040,0,0,10086,33198,135,3168,2340,1595,7710,0
39000,0,0,5599,30810,6372,55020,11892,0,17064,0
1580,0,0,6909,42252,8111,10350,6300,0,22896,2500
48464,0,3620,16195,53106,4236,55620,21600,14350,33888,15500
30683,1130,4140,11688,38184,3325,20274,2100,400,23586,3000
29376,0,0,5795,54636,33538,21618,9600,77000,15168,0
30839,1656,1560,12065,38676,1452,30954,8616,11350,34854,17500
2780,0,520,5035,36474,2747,6600,960,0,3432,0
36850,0,0,20559,70392,5173,18810,18780,2570,29682,3000
