"Total.Food.Expenditure","Bread.and.Cereals.Expenditure","Total.Rice.Expenditure","Meat.Expenditure","Total.Fish.and..marine.products.Expenditure","Fruit.Expenditure","Vegetables.Expenditure"
91508,26542,23104,10213,5290,515,8617
52282,20716,17992,4550,7553,565,4200
105843,18629,11711,25982,9980,6996,5425
66319,26328,24010,16497,8368,225,3583
37643,12642,11700,10209,3660,125,2905
25060,15997,15470,2110,1268,300,1768
168827,35732,26520,27366,13920,4695,11321
36600,20007,18990,1866,5315,1195,1380
40917,14114,11244,3220,8772,1022,3490
71180,27926,20122,8350,9422,1670,4490
55512,24523,23842,2710,3650,1520,2104
73980,29804,26968,5238,11576,3855,9192
150695,66572,60458,9210,8714,1360,6630
67180,33215,30420,5379,7546,1210,4527
167756,59496,48620,26839,38546,5341,6794
57291,18438,14670,6917,10922,4570,8770
45197,6152,4030,1452,3192,420,984
46231,9599,5850,3745,7829,4780,7927
90167,43052,39000,5054,12060,4275,9729
55773,13980,12300,4018,12690,5585,10026
136027,73600,69440,5987,18756,5205,14927
59564,21907,19712,4647,11027,3155,9092
86169,35001,20875,10841,10640,2040,5634
193319,43166,33280,33066,26530,4530,3293
92531,50302,43680,4008,12974,850,4320
153235,47456,38480,24271,23086,1712,2696
60755,16104,13728,7610,19976,520,1594
58876,27878,14480,7473,6450,1410,2930
93197,21278,14803,17722,10502,3645,3542
108246,41158,31902,13400,10446,2465,3800
61881,36706,19240,6221,7052,1230,4146
78704,38207,36287,4868,6596,2403,3325
58446,16899,16050,7066,6839,570,13037
77160,21883,14979,8775,12220,6355,6713
90621,24921,17738,12946,13899,2550,11268
82897,20315,14480,10714,18893,4859,4777
28692,14291,7826,146,6984,190,1500
40914,13568,10478,3945,6104,672,3529
77248,15916,13312,21322,13889,3832,3680
59000,22394,19500,8349,7794,2656,4424
52280,16640,11934,10240,5959,1646,2885
38920,12627,10739,2772,4440,1566,5374
74828,22314,16440,3462,15772,395,8093
66256,17878,16510,11435,15892,3510,6107
96940,27720,21580,16670,10498,2650,4921
187803,59598,43550,31140,24512,6630,12950
50965,5722,4780,4940,960,300,210
109231,23363,12825,24256,11798,5356,4547
131384,34681,26460,11728,8656,6050,3790
162253,34831,22377,24974,12490,2135,5230
128756,39771,31250,12481,9244,1612,2369
